Id,Tweet,Has_medication,Begin,End,Span,Drug normalized
823693449383804930,"Me and Jordan stayed for abt an hour, both had an anxiety attack and left wtf",0,,,,
796278477628575744,The 'experts' said today we would have snow and Hilary would win. What did we get? Wet- trump! Nothing good has ever come from a wet trump.,0,,,,
806902083551162369,It's Christmas movie &amp; present wrapping night in the Helenry house. I've even bought a mini Xmas pud for dessert*activates Christmas spirit*,0,,,,
596633978678960129,@MTJAMBLOG have you got a monitor with movement sensor? That was my must have.,0,,,,
505562198291537920,"@JoeGottii I know I've never seen anyone with that name, I'm sure someone, somewhere. lol but not anyone around here",0,,,,
770330463823093761,Sooo in need of a slug Monday😍,0,,,,
484127158928162816,Jada look like she use to be a crack head,0,,,,
753517301471797249,"As a former fashion editor, with a masters in journalism &amp; a degree in law, I disagree. But each to their own. https://t.co/8lIcc9b8Gw",0,,,,
660182545204580352,@ChittendenNate I didn't even know I was!,0,,,,
438476761550974976,@QueenKi__ ur post sayin u got everythin on ur own over tweeted dat,0,,,,
857372773236088834,@Captain_Lorena You coming to my babyshower on sat boo!?,0,,,,
400326236112572417,Snow is so beautiful!,0,,,,
860874594344992773,I'm so done with being pregnant though 😭😭 Rosalie was such a breeze man I had no pains or symptoms,0,,,,
848722424564781056,@_k_cirone It was delicious! Lemon butter &amp; herb chicken tenders.😋 my favorite! lol I wish we had pizza tho. 😂 I've been craving pizza!!,0,,,,
700762075262373890,Why do oil changes take 5ever?!,0,,,,
499702233274253312,Lunchables are so fucking good.,0,,,,
654469478034440193,"No future in production ag? Who will do it then? We will always need crops. Accidents happen in all walks of life, not just farm @ThorsonRod",0,,,,
466365297809969153,I spy beautiful baby Keller on my couch!! 💕🍒 #fmsphotoaday carriealling http://t.co/ixp6vrjqEp,0,,,,
824045929632333824,So much trash down my insta today omg.,0,,,,
764237658906324992,@13jmall you knew 😂 https://t.co/LWeOdJ1axa,0,,,,
753180688069918720,@Kellieisaranger so much!! Chiswick is my fav place we ever lived,0,,,,
745625675525042176,I'm kinda horny 😫,0,,,,
813796109625724930,I wish I had a promise ring lol.,0,,,,
841821619534336000,I bought a fucking pineapple and idk how to fuckig cut it or if it's good,0,,,,
476905663151759360,So depressed and no one sees,0,,,,
420932905234608128,Must I wake up with this morning sickness every fucken day󾆳when does it go away — watching Half Light,0,,,,
690703972445896704,@sarahemgeex this is one of the times I wish I didn't live in the suburbs!,0,,,,
860312143773749249,My boyfriends caption is so cute omg 😢😢😢😢😢 i love my boys so much https://t.co/QVJCsdB3Ez,0,,,,
670647182870118400,Doing lifts tonighhhtttt,0,,,,
590071955581108224,So sad My pain Is back cyst or appendix 😩 I don't want a scan 😔,0,,,,
795093751555325952,@xtheyLOVEashxo not the same girl,0,,,,
540663885468954624,I wouldn't mind moving out of town then it would just be me and mines,0,,,,
644781916772634624,Maria's new backpack thanks to grandma 😊 http://t.co/B8NSJbtBPC,0,,,,
804173627415470080,"starting to believe people when they say something's wrong with me, but what is it?",0,,,,
419994910087864320,they won from a field goal... calm down. #sitdown,0,,,,
497771835241791488,@sullybaby8 you betta go find out!,0,,,,
804500473076191232,2016... had a baby... no longer wear a 16... and copped a ring... bomb ass year...,0,,,,
840039260677914624,@lovelyluckylife @woodlandsresort right!!! I can't wait!!!,0,,,,
722249502346883072,😂 I know my boyfriend tired of me and my creations 🤔🙃🙃,0,,,,
581097975100747776,"@RynoSanDiego that's what I keep telling myself; baby doesn't care of everything's ready, that's more for my own sanity 😉",0,,,,
257852850967822336,@graeters has Pumpkin and Cinnamon ice creams this month! WHY am I not in Ohio this month?! =/ #CruelTwistofFate,0,,,,
687115907089305600,love when I burn the shit outta my arm &amp; drop 60lbs on my leg/foot while at work 🙃,0,,,,
815522056582418432,2 people followed me and 3 people unfollowed me // automatically checked by https://t.co/KXNS0TGV13,0,,,,
508294779621613568,@Tarabledactyl of course I'm your world (;,0,,,,
446344661423366145,I'm at work n my Back is hurting like shit 😩😩,0,,,,
763550186555727873,@Jaylahtiara lmao well I raised my kids to hit back so long as she knock his ass back out I'll be alright 😂😂😂😭😭,0,,,,
265531835486982144,@ourgoodfoodlife Fishers: Always late but worth the wait. ;) Hang in there! Can't wait to meet the little one at Thanksgiving!,0,,,,
880879726725869569,@1995stylehoe My bfs mom told me that too. I'll keep that in mind if the one I bought doesn't work out. I just don'… https://t.co/tmF8hx753C,0,,,,
735107803954728961,@jeremyhuiskamp I hope not... my hair was a mess and I had blue chalk on my face....on the 7th floor....,0,,,,
426801529517920256,@AdamDetrinidad you don't even wanna know. Why didn't you text me back?,0,,,,
502031677708058624,@Gabby_Nellessen yup. She's colic 🔫,0,,,,
443574231071080449,not a happy camper,0,,,,
749342770939170817,"It's crazy how everybody getting they ass or titties done, I could never 🙄 too scared ✋🏾 I'll do w/o",0,,,,
886642813651357696,loyalty is everything.,0,,,,
594429561271689216,@LittleButtonsUK You're welcome. Just about to DM you. Xxx,0,,,,
455190877640458240,The water in Vegas tastes like 💩.,0,,,,
796481333023346692,I think it's absolutely ridiculous that friendships are ending just bc of different political views. We're supposed to be adults. Goodness.,0,,,,
463965020276002817,I hate being up at 4am nothing to do but think and think....,0,,,,
